original_idx,stage,first_line,nchars
0,1. Project setup and Google Drive mounting,from google.colab import drive,322
1,1. Project setup and Google Drive mounting,from google.colab import drive,60
2,1. Project setup and Google Drive mounting,"PROJECT_ROOT = ""/content/drive/MyDrive/xai_coupled_nmf_project""",76
3,1. Project setup and Google Drive mounting,import os,612
4,1. Project setup and Google Drive mounting,%cd /content/drive/MyDrive/xai_coupled_nmf_project,50
5,1. Project setup and Google Drive mounting,!find /content/drive/MyDrive/xai_coupled_nmf_project -maxdepth 2 -type d | sort,79
6,1. Project setup and Google Drive mounting,import zipfile,230
7,1. Project setup and Google Drive mounting,!find /content/drive/MyDrive/xai_coupled_nmf_project/src -maxdepth 1 -type f | sort,83
8,1. Project setup and Google Drive mounting,!python src/build_dataset_summary.py \,340
9,1. Project setup and Google Drive mounting,"PROJECT_ROOT = ""/content/drive/MyDrive/xai_coupled_nmf_project""",114
10,1. Project setup and Google Drive mounting,"!find /content/drive/MyDrive/xai_coupled_nmf_project -name ""build_dataset_summary.py""",85
11,1. Project setup and Google Drive mounting,import os,1099
14,1. Project setup and Google Drive mounting,"PROJECT_ROOT = ""/content/drive/MyDrive/xai_coupled_nmf_project""",588
15,2. MovieLens latest-small preprocessing and split generation,# Create:,108
16,2. MovieLens latest-small preprocessing and split generation,!python src/build_dataset_summary.py \,385
17,2. MovieLens latest-small preprocessing and split generation,"PROJECT_ROOT = ""/content/drive/MyDrive/xai_coupled_nmf_project""",552
18,2. MovieLens latest-small preprocessing and split generation,# Optional extended dataset: MovieLens 20M,289
20,2. MovieLens latest-small preprocessing and split generation,!ls -lh data/raw/ml-latest-small,32
21,2. MovieLens latest-small preprocessing and split generation,!python src/preprocess_ratings.py \,329
22,2. MovieLens latest-small preprocessing and split generation,!python src/build_item_descriptors.py \,411
23,2. MovieLens latest-small preprocessing and split generation,!ls -lh data/processed/,23
24,2. MovieLens latest-small preprocessing and split generation,import pandas as pd,288
26,2. MovieLens latest-small preprocessing and split generation,"pd.read_csv(""results/csv/ml_latest_small_dataset_summary.csv"")",62
27,2. MovieLens latest-small preprocessing and split generation,!python src/generate_splits.py \,347
28,2. MovieLens latest-small preprocessing and split generation,!python src/check_evaluation_pipeline.py \,352
29,2. MovieLens latest-small preprocessing and split generation,!ls -lh results/csv/,20
30,2. MovieLens latest-small preprocessing and split generation,import pandas as pd,770
31,3. Baseline benchmark scripts and initial benchmark execution,import numpy as np,1583
32,3. Baseline benchmark scripts and initial benchmark execution,%%writefile src/run_main_benchmarks.py,944
