dataset_name,factor_id,descriptor_1,descriptor_2,descriptor_3,descriptor_4,descriptor_5,interpretation
ml1m,1,genre_horror,genre_film_noir,genre_childrens,genre_drama,genre_war,
ml1m,2,genre_drama,genre_romance,genre_mystery,genre_fantasy,genre_documentary,
ml1m,3,genre_action,genre_thriller,genre_film_noir,genre_musical,genre_sci_fi,
ml1m,4,genre_drama,genre_documentary,genre_sci_fi,genre_war,genre_mystery,
ml1m,5,genre_mystery,genre_drama,genre_musical,genre_action,genre_romance,
ml1m,6,genre_crime,genre_western,genre_fantasy,genre_film_noir,genre_childrens,
ml1m,7,genre_sci_fi,genre_fantasy,genre_action,genre_animation,genre_mystery,
ml1m,8,genre_animation,genre_war,genre_adventure,genre_crime,genre_musical,
ml1m,9,genre_mystery,genre_action,genre_war,genre_horror,genre_drama,
ml1m,10,genre_action,genre_documentary,genre_comedy,genre_romance,genre_war,
ml1m,11,genre_thriller,genre_mystery,genre_childrens,genre_western,genre_documentary,
ml1m,12,genre_childrens,genre_western,genre_war,genre_film_noir,genre_crime,
ml1m,13,genre_sci_fi,genre_comedy,genre_film_noir,genre_western,genre_childrens,
ml1m,14,genre_film_noir,genre_crime,genre_western,genre_animation,genre_thriller,
ml1m,15,genre_action,genre_drama,genre_fantasy,genre_sci_fi,genre_film_noir,
ml1m,16,genre_comedy,genre_thriller,genre_sci_fi,genre_documentary,genre_western,
ml1m,17,genre_thriller,genre_fantasy,genre_western,genre_animation,genre_horror,
ml1m,18,genre_romance,genre_animation,genre_mystery,genre_fantasy,genre_documentary,
ml1m,19,genre_fantasy,genre_musical,genre_thriller,genre_adventure,genre_comedy,
ml1m,20,genre_war,genre_mystery,genre_sci_fi,genre_adventure,genre_musical,
ml1m,21,genre_comedy,genre_documentary,genre_fantasy,genre_childrens,genre_musical,
ml1m,22,genre_romance,genre_fantasy,genre_crime,genre_documentary,genre_western,
ml1m,23,genre_comedy,genre_mystery,genre_musical,genre_documentary,genre_film_noir,
ml1m,24,genre_war,genre_thriller,genre_childrens,genre_drama,genre_fantasy,
ml1m,25,genre_romance,genre_documentary,genre_western,genre_sci_fi,genre_comedy,
ml1m,26,genre_horror,genre_romance,genre_crime,genre_adventure,genre_childrens,
ml1m,27,genre_drama,genre_film_noir,genre_animation,genre_horror,genre_adventure,
ml1m,28,genre_sci_fi,genre_animation,genre_film_noir,genre_western,genre_horror,
ml1m,29,genre_childrens,genre_fantasy,genre_western,genre_documentary,genre_drama,
ml1m,30,genre_mystery,genre_drama,genre_action,genre_animation,genre_comedy,
