dataset_name,user_id,item_id,score,dominant_factors
ml1m,1,2905,4.9388885498046875,"f12,f24,f20"
ml1m,1,3338,4.8031229972839355,"f14,f20,f13"
ml1m,1,318,4.748512268066406,"f22,f12,f24"
ml1m,1,1148,4.727478504180908,"f12,f20,f5"
ml1m,1,669,4.686039924621582,"f14,f20,f12"
ml1m,1,3306,4.674309253692627,"f12,f14,f15"
ml1m,1,670,4.667637825012207,"f12,f26,f24"
ml1m,1,668,4.659018516540527,"f12,f26,f13"
ml1m,1,2019,4.655190467834473,"f12,f21,f20"
ml1m,1,3022,4.649843692779541,"f12,f20,f3"
ml1m,2,2905,4.443903923034668,"f20,f24,f14"
ml1m,2,527,4.356748104095459,"f22,f20,f14"
ml1m,2,3338,4.273193836212158,"f14,f20,f16"
ml1m,2,260,4.248490333557129,"f22,f24,f5"
ml1m,2,953,4.215457916259766,"f20,f14,f5"
ml1m,2,3147,4.203734874725342,"f22,f28,f20"
ml1m,2,669,4.187655925750732,"f14,f20,f16"
ml1m,2,1262,4.176473140716553,"f22,f24,f5"
ml1m,2,214,4.157474040985107,"f24,f14,f11"
ml1m,2,2762,4.156810760498047,"f22,f14,f28"
ml1m,3,2905,4.758913516998291,"f11,f25,f1"
ml1m,3,3338,4.59822940826416,"f2,f1,f25"
ml1m,3,318,4.526494026184082,"f22,f1,f24"
ml1m,3,669,4.491593360900879,"f29,f11,f25"
ml1m,3,214,4.479587078094482,"f11,f29,f25"
ml1m,3,670,4.466566562652588,"f11,f26,f29"
ml1m,3,527,4.4595441818237305,"f22,f20,f1"
ml1m,3,3306,4.448700904846191,"f29,f26,f11"
ml1m,3,668,4.447277545928955,"f26,f30,f29"
ml1m,3,1148,4.43856954574585,"f11,f22,f26"
ml1m,4,2905,4.71588134765625,"f20,f9,f8"
ml1m,4,3338,4.6197404861450195,"f15,f13,f3"
ml1m,4,1148,4.5970659255981445,"f9,f5,f12"
ml1m,4,527,4.572526931762695,"f22,f20,f5"
ml1m,4,1207,4.554752826690674,"f8,f3,f20"
ml1m,4,318,4.54808235168457,"f22,f9,f12"
ml1m,4,2019,4.547752380371094,"f21,f5,f15"
ml1m,4,858,4.535197734832764,"f5,f15,f22"
ml1m,4,3022,4.528923988342285,"f20,f3,f7"
ml1m,4,923,4.504523754119873,"f15,f21,f5"
ml1m,5,1206,4.476633548736572,"f21,f15,f9"
ml1m,5,750,4.387079238891602,"f21,f15,f9"
ml1m,5,923,4.3197503089904785,"f21,f15,f9"
ml1m,5,1230,4.21788215637207,"f21,f15,f9"
ml1m,5,1199,4.194759845733643,"f21,f15,f9"
ml1m,5,2019,4.178895473480225,"f21,f15,f12"
ml1m,5,1256,4.165886878967285,"f21,f15,f9"
ml1m,5,296,4.162275314331055,"f15,f21,f9"
ml1m,5,1288,4.140257358551025,"f21,f15,f9"
ml1m,5,1252,4.138824939727783,"f21,f15,f9"
ml1m,6,2905,4.946566581726074,"f11,f6,f14"
ml1m,6,3338,4.779500961303711,"f14,f6,f11"
ml1m,6,669,4.6992387771606445,"f6,f14,f11"
ml1m,6,214,4.663327693939209,"f11,f6,f14"
ml1m,6,527,4.650376319885254,"f14,f20,f3"
ml1m,6,2609,4.649591445922852,"f6,f11,f14"
ml1m,6,670,4.64914608001709,"f6,f11,f26"
ml1m,6,668,4.646206855773926,"f26,f6,f14"
ml1m,6,3306,4.633484363555908,"f14,f6,f26"
ml1m,6,318,4.61334753036499,"f1,f11,f3"
ml1m,7,2905,5.290831565856934,"f28,f24,f1"
ml1m,7,3338,5.139476776123047,"f22,f1,f15"
ml1m,7,318,5.09547233581543,"f22,f28,f24"
ml1m,7,527,5.055246829986572,"f22,f20,f5"
ml1m,7,1148,5.034201145172119,"f22,f12,f9"
ml1m,7,260,5.027712821960449,"f22,f24,f5"
ml1m,7,669,5.010791301727295,"f1,f20,f15"
ml1m,7,670,4.98946475982666,"f15,f24,f26"
ml1m,7,1207,4.9784321784973145,"f22,f20,f30"
ml1m,7,668,4.973374843597412,"f26,f30,f13"
ml1m,8,2905,4.854736328125,"f9,f24,f5"
ml1m,8,858,4.798757076263428,"f5,f15,f9"
ml1m,8,3338,4.75341796875,"f15,f9,f27"
ml1m,8,750,4.728524208068848,"f15,f9,f21"
ml1m,8,2019,4.726878643035889,"f21,f5,f15"
ml1m,8,50,4.72284460067749,"f9,f15,f22"
ml1m,8,923,4.716549873352051,"f15,f21,f9"
ml1m,8,318,4.713679790496826,"f22,f9,f24"
ml1m,8,1148,4.713347434997559,"f9,f5,f12"
ml1m,8,1221,4.702783584594727,"f15,f5,f21"
ml1m,9,2905,4.387326717376709,"f9,f24,f28"
ml1m,9,260,4.334787368774414,"f22,f9,f24"
ml1m,9,858,4.311944961547852,"f15,f5,f9"
ml1m,9,3338,4.271087646484375,"f9,f15,f7"
ml1m,9,527,4.26228141784668,"f22,f9,f12"
ml1m,9,1262,4.217504501342773,"f22,f9,f5"
ml1m,9,296,4.2091145515441895,"f15,f9,f5"
ml1m,9,2028,4.208521366119385,"f22,f25,f24"
ml1m,9,2019,4.197439193725586,"f12,f9,f15"
ml1m,9,1198,4.189632892608643,"f22,f24,f9"
ml1m,10,2905,5.120375156402588,"f11,f14,f6"
ml1m,10,3338,4.955380439758301,"f14,f11,f6"
ml1m,10,669,4.894088268280029,"f11,f14,f6"
ml1m,10,214,4.887066841125488,"f11,f14,f6"
ml1m,10,2609,4.8648247718811035,"f11,f14,f6"
ml1m,10,670,4.837592124938965,"f11,f6,f26"
ml1m,10,668,4.810526371002197,"f11,f26,f14"
ml1m,10,2501,4.805755615234375,"f11,f14,f16"
ml1m,10,3306,4.799294948577881,"f11,f14,f6"
ml1m,10,3147,4.795977592468262,"f11,f14,f20"
ml1m,11,296,4.362043380737305,"f9,f15,f19"
ml1m,11,858,4.323567867279053,"f9,f12,f15"
ml1m,11,1221,4.241609573364258,"f9,f12,f15"
ml1m,11,750,4.216389179229736,"f9,f15,f12"
ml1m,11,923,4.199139595031738,"f9,f15,f12"
ml1m,11,2905,4.164620876312256,"f9,f12,f19"
ml1m,11,2019,4.151313781738281,"f9,f12,f15"
ml1m,11,260,4.1273512840271,"f9,f22,f12"
ml1m,11,1201,4.119677543640137,"f9,f19,f15"
ml1m,11,1206,4.106710910797119,"f15,f9,f19"
ml1m,12,2905,4.574865341186523,"f10,f28,f17"
ml1m,12,3338,4.453094005584717,"f7,f15,f10"
ml1m,12,1148,4.385333061218262,"f10,f9,f12"
ml1m,12,318,4.360965728759766,"f22,f12,f28"
ml1m,12,527,4.357520580291748,"f22,f10,f5"
ml1m,12,2019,4.351099014282227,"f21,f12,f10"
ml1m,12,670,4.337198257446289,"f10,f15,f26"
ml1m,12,669,4.335693836212158,"f10,f21,f15"
ml1m,12,1207,4.33385705947876,"f21,f7,f30"
ml1m,12,668,4.3281450271606445,"f26,f10,f13"
ml1m,13,2905,4.306471347808838,"f28,f18,f22"
ml1m,13,3338,4.169796943664551,"f22,f14,f1"
ml1m,13,1148,4.101163864135742,"f22,f12,f10"
ml1m,13,1207,4.071685314178467,"f22,f14,f8"
ml1m,13,669,4.063706398010254,"f14,f22,f1"
ml1m,13,858,4.049081802368164,"f22,f12,f5"
ml1m,13,953,4.035969257354736,"f14,f22,f20"
ml1m,13,3306,4.032363414764404,"f22,f14,f4"
ml1m,13,2762,4.031735897064209,"f22,f28,f1"
ml1m,13,670,4.029958724975586,"f4,f12,f22"
ml1m,14,2905,3.8660364151000977,"f12,f11,f19"
ml1m,14,3338,3.7748334407806396,"f27,f12,f19"
ml1m,14,1148,3.769483804702759,"f12,f5,f9"
ml1m,14,318,3.739046573638916,"f12,f22,f9"
ml1m,14,527,3.727447032928467,"f12,f22,f5"
ml1m,14,3306,3.694448947906494,"f12,f19,f5"
ml1m,14,3022,3.69001841545105,"f12,f5,f27"
ml1m,14,669,3.676180839538574,"f6,f12,f27"
ml1m,14,668,3.6703763008117676,"f12,f19,f26"
ml1m,14,2019,3.669295310974121,"f12,f5,f15"
ml1m,15,2905,4.306911468505859,"f28,f18,f1"
ml1m,15,3338,4.085934638977051,"f1,f18,f28"
ml1m,15,214,4.018197059631348,"f28,f1,f24"
ml1m,15,669,4.016347408294678,"f28,f1,f18"
ml1m,15,1036,3.999927043914795,"f28,f24,f18"
ml1m,15,2329,3.9916956424713135,"f28,f18,f25"
ml1m,15,1262,3.97743821144104,"f28,f18,f24"
ml1m,15,670,3.972409963607788,"f28,f18,f24"
ml1m,15,2501,3.964374303817749,"f28,f18,f25"
ml1m,15,3916,3.9569711685180664,"f18,f28,f1"
ml1m,16,2905,4.795289516448975,"f9,f20,f1"
ml1m,16,3338,4.69684362411499,"f13,f9,f21"
ml1m,16,1148,4.656660556793213,"f9,f20,f22"
ml1m,16,1207,4.596202373504639,"f21,f8,f20"
ml1m,16,527,4.591939926147461,"f22,f20,f9"
ml1m,16,2019,4.589705467224121,"f21,f9,f20"
ml1m,16,3022,4.58449649810791,"f9,f20,f21"
ml1m,16,669,4.567731857299805,"f13,f21,f20"
ml1m,16,318,4.564560413360596,"f22,f9,f1"
ml1m,16,3306,4.554025650024414,"f21,f9,f13"
ml1m,17,2905,5.127498626708984,"f9,f12,f24"
ml1m,17,3338,5.0101189613342285,"f9,f21,f13"
ml1m,17,1148,5.006035804748535,"f9,f12,f10"
ml1m,17,2019,4.942831516265869,"f21,f12,f9"
ml1m,17,858,4.896517276763916,"f12,f21,f9"
ml1m,17,1207,4.882187843322754,"f21,f12,f9"
ml1m,17,668,4.88033390045166,"f26,f12,f13"
