dataset_name,factor_id,descriptor_1,descriptor_2,descriptor_3,descriptor_4,descriptor_5,interpretation
ml_latest_small,1,tag_dystopia,tag_twins,tag_coen_brothers,tag_anime,tag_imdb_top_250,
ml_latest_small,2,tag_corruption,tag_india,tag_disability,tag_civil_war,tag_romance,
ml_latest_small,3,tag_dark_comedy,tag_sad,tag_survival,tag_thriller,genre_no_genres_listed,
ml_latest_small,4,tag_bittersweet,genre_war,tag_robots,tag_sports,tag_sarcasm,
ml_latest_small,5,tag_comedy,tag_samuel_l_jackson,tag_business,tag_cinematography,tag_gothic,
ml_latest_small,6,tag_disturbing,tag_post_apocalyptic,tag_screwball,tag_sad,tag_dark_comedy,
ml_latest_small,7,tag_disability,tag_adam_sandler,tag_samurai,tag_australia,tag_organized_crime,
ml_latest_small,8,genre_sci_fi,tag_high_school,tag_robots,tag_future,tag_ghosts,
ml_latest_small,9,genre_documentary,tag_samuel_l_jackson,tag_mafia,tag_coen_brothers,tag_death,
ml_latest_small,10,genre_horror,tag_sexuality,tag_remake,tag_artificial_intelligence,tag_crude_humor,
ml_latest_small,11,tag_england,tag_quirky,tag_magic,tag_black_comedy,tag_nick_and_nora_charles,
ml_latest_small,12,tag_controversial,tag_cinematography,tag_ghosts,genre_western,tag_based_on_a_book,
ml_latest_small,13,genre_comedy,tag_judaism,tag_sci_fi,tag_tense,tag_controversial,
ml_latest_small,14,tag_soundtrack,tag_adventure,tag_social_commentary,tag_sequel,tag_good_dialogue,
ml_latest_small,15,genre_animation,tag_assassin,tag_cross_dressing,tag_brad_pitt,tag_black_and_white,
ml_latest_small,16,genre_romance,tag_hepburn_and_tracy,tag_post_apocalyptic,tag_plot_holes,tag_president,
ml_latest_small,17,tag_stephen_king,tag_court,tag_corruption,tag_revenge,tag_will_ferrell,
ml_latest_small,18,tag_psychology,tag_black_and_white,tag_hit_men,tag_alcoholism,genre_thriller,
ml_latest_small,19,genre_crime,genre_sci_fi,genre_thriller,tag_action,tag_unique,
ml_latest_small,20,genre_war,tag_revenge,tag_satire,tag_cross_dressing,tag_death_penalty,
ml_latest_small,21,genre_musical,tag_martial_arts,tag_witty,genre_western,tag_business,
ml_latest_small,22,tag_prostitution,tag_vietnam,tag_gothic,genre_war,tag_remake,
ml_latest_small,23,tag_soundtrack,tag_stylized,tag_friendship,tag_tom_hanks,genre_fantasy,
ml_latest_small,24,tag_suspense,tag_dickens,tag_sci_fi,tag_screwball,tag_lawyers,
ml_latest_small,25,tag_seth_rogen,tag_time_travel,tag_police,tag_humorous,genre_mystery,
ml_latest_small,26,tag_twins,tag_artificial_intelligence,tag_ryan_reynolds,tag_dickens,tag_sequel,
ml_latest_small,27,tag_poignant,tag_clever,tag_pixar,tag_quentin_tarantino,tag_good_dialogue,
ml_latest_small,28,tag_prostitution,tag_emotional,tag_serial_killer,tag_australia,tag_good_dialogue,
ml_latest_small,29,tag_surreal,genre_crime,tag_world_war_ii,tag_existentialism,tag_spoof,
ml_latest_small,30,tag_philosophical,genre_film_noir,tag_kidnapping,tag_lawyers,tag_gambling,
ml_latest_small,31,tag_aardman,tag_beautiful,tag_aliens,tag_mystery,genre_children,
ml_latest_small,32,genre_drama,tag_world_war_ii,tag_samurai,tag_animal_movie,tag_cult_film,
ml_latest_small,33,tag_gambling,tag_tom_hanks,tag_seth_rogen,tag_stylized,tag_marvel,
ml_latest_small,34,genre_comedy,tag_serial_killer,tag_bad_plot,tag_race,tag_surreal,
ml_latest_small,35,tag_drugs,tag_brad_pitt,tag_civil_war,tag_swashbuckler,tag_psychological,
ml_latest_small,36,tag_ghosts,tag_journalism,tag_court,tag_al_pacino,tag_martin_scorsese,
ml_latest_small,37,genre_comedy,tag_cerebral,genre_sci_fi,genre_war,tag_magic,
ml_latest_small,38,tag_space,genre_sci_fi,tag_shakespeare,tag_swashbuckler,tag_clever,
ml_latest_small,39,genre_drama,tag_philosophical,tag_feel_good,tag_india,tag_brad_pitt,
ml_latest_small,40,genre_sci_fi,tag_court,tag_stephen_king,tag_zombies,tag_adventure,
